edad;sexo;actividad;descripcion_de_actividad;barrio;comuna;fecha;monto
62;hombre;produccion;produccion;santa elena;90;25/5/2016;6890000
51;hombre;comercio;ventas diversas;miranda;4;24/11/2017;6000000
40;mujer;servicios;publicidad - comunicaciones;belen granada;16;21/3/2018;4500000
39;hombre;produccion;produccion;vereda el rosario;90;12/8/2016;6890000
35;hombre;servicios;servicios;cristobal;12;25/4/2016;6890000
43;hombre;produccion;produccion;san antonio de prado;80;17/6/2016;4200000
36;hombre;comercio;venta de comidas preparadas;belen los alpez;16;10/5/2018;3000000
46;hombre;servicios;salud;laureles;16;22/5/2017;6000000
47;hombre;servicios;salud;san juan con la 80;10;8/6/2018;8482541
45;mujer;comercio;ventas diversas;loma de los bernal;16;13/2/2017;3000000
33;hombre;comercio;ventas diversas;centro;4;30/1/2017;3000000
34;hombre;comercio;ventas diversas;centro;10;18/8/2017;7300000
35;mujer;comercio;venta de comidas preparadas;el pesebre;13;17/2/2017;5000000
43;mujer;produccion;confecciones;la pradera;13;19/4/2017;6000000
33;hombre;comercio;ventas diversas;belen rincon;16;20/11/2017;1500000
31;mujer;comercio;venta de comidas preparadas;castilla;5;20/11/2017;6000000
35;mujer;produccion;confecciones;campo amor guayabal;15;25/1/2018;3000000
36;hombre;comercio;eventos y decoracion;floresta;12;26/12/2018;1150000
64;hombre;servicios;servicios;pedregal;6;14/6/2016;6890000
61;hombre;produccion;produccion;san antonio de prado;80;13/12/2016;5000000
63;hombre;produccion;agricultura - ganaderia;san antonio de prado;80;21/9/2018;6000000
49;hombre;servicios;belleza y estetica;robledo palenque;7;25/10/2018;3000000
60;hombre;comercio;comercio;bomboma;10;16/12/2016;6890000
59;hombre;servicios;publicidad - comunicaciones;prado centro;10;15/6/2018;3000000
74;hombre;comercio;ventas diversas;manrique las esmeralda;4;16/8/2018;4000000
43;hombre;comercio;venta por catalogo;san antonio de prado;80;16/1/2018;3000000
;hombre;comercio;ventas diversas;aranjuez;4;10/3/2017;5000000
60;hombre;produccion;produccion;san cristobal;60;12/10/2016;1500000
59;hombre;servicios;salud;la candelaria;10;30/8/2018;4000000
60;hombre;comercio;venta de comidas preparadas;robledo;7;17/4/2018;6000000
60;hombre;comercio;ventas diversas;las palmas;10;16/7/2018;6500000
